epoch,train_loss,val_RMSE
1,0.4253787579280989,6.730065743412672
2,0.39717415826661245,6.739621964043183
3,0.3244101351925305,6.61502099594211
4,0.25119772606662344,6.578600895041604
5,0.19107777625322342,7.860489870757044
6,0.1358958317765168,7.340486138206572
7,0.11893773398229054,7.220913623841649
8,0.10090041852423123,7.095843989809227
9,0.08675038521843297,6.611670905188721
10,0.07756775112024375,6.02438876327169
11,0.07244664670101233,6.610010884409526
12,0.06658814581377166,6.163031037047356
13,0.06794477945991925,6.041545673652911
14,0.05921897717884609,6.087840432009458
15,0.05397911183536053,6.1361023814733775
16,0.05314842691378934,5.901976822081186
17,0.051777833939663,5.887072420500514
18,0.04870729095169476,6.293648066543659
19,0.047175479387598376,6.439075954748452
20,0.04458016995340586,6.434069290807022
21,0.043753979062395434,6.3278058294410915
22,0.04338055622896978,6.126573044777809
23,0.043310610710510185,6.3632296522383465
24,0.042417525712932856,6.47123360045757
25,0.03967975386019264,6.394925035326537
26,0.035030843556991646,6.570246959291835
27,0.04638151332203831,6.607710538370977
28,0.04441903491637537,6.646615677476062
29,0.035968076171619554,6.597435618596668
30,0.03989709235195603,6.647929480927709
31,0.03576838371476957,6.613855301418157
32,0.03883213749421494,6.6182621990506965
33,0.03682622739246914,6.7813028783407585
34,0.03427588154694864,7.005068962922895
35,0.04035536865038531,7.090380871999348
36,0.038990369864872525,6.600171958256037
37,0.03800725058785507,6.94138277460203
38,0.0345688281979944,6.8278236841503945
39,0.03223943058401346,7.0449063190227275
40,0.03597452837441649,6.900037610365153
41,0.03775275671588523,7.2112269548026084
42,0.03626677260867187,7.127300818454746
43,0.036387495031314235,7.0511181827833225
44,0.03570133287991796,7.199446907133195
45,0.030773135035165718,7.065127592038547
46,0.031763873262596984,7.347193757033369
47,0.030543490845177854,7.2789491286942
48,0.03354370327932494,7.090019406861692
49,0.033811384811997414,7.442828807627998
50,0.03356987916465316,7.289673777151426
51,0.029934481451553956,7.440106410289497
52,0.030487703026405404,7.381296368666537
53,0.03378552145191601,7.4934859660714555
54,0.03108518889972142,7.544962219288011
55,0.03129684246544327,7.440413138475119
56,0.032954115620149035,7.557522982753221
57,0.028832617348858287,7.469364188683947
